ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
2607:5300:203:1797::53,,16276,OVH SAS,CA,,,,true,0.89,2020-08-05T11:00:34Z,2020-07-15T09:26:35Z
199.255.137.34,,31863,DACEN-2,US,,dnsmasq-pi-hole-2.81,,false,1.00,2020-07-15T09:33:33Z,2020-07-15T09:33:33Z
82.146.26.2,hst-26-2.medicom.bg.,31435,Medicom Bulgaria Ood,BG,Sofia,,,true,1.00,2020-07-15T19:01:47Z,2020-07-15T19:01:47Z
94.236.218.254,254.218.236.94-optic-com.eu.,41946,Petros Ltd.,BG,Sofia,,,true,1.00,2020-07-16T12:41:01Z,2020-07-15T20:48:36Z
2001:470:2351::1,,6939,HURRICANE,HU,,,,true,1.00,2020-07-16T12:41:01Z,2020-07-15T20:48:53Z
2001:470:1f1a:78e::2,tunnel516963-pt.tunnel.tserv1.bud1.ipv6.he.net.,6939,HURRICANE,US,,,,true,1.00,2020-07-15T21:29:38Z,2020-07-15T21:29:38Z
8.8.8.8,dns.google.,15169,GOOGLE,US,,,,true,1.00,2021-05-14T06:24:47Z,2020-07-16T14:19:04Z
151.80.222.79,opennic.i2pd.xyz.,16276,OVH SAS,FR,Roubaix,none,,false,0.49,2020-10-20T11:23:35Z,2020-07-16T15:00:49Z
200.11.52.202,ficus.ulima.edu.pe.,6147,Telefonica del Peru S.A.A.,PE,Lima,Microsoft DNS 6.0.6002 (17724836),,false,0.92,2021-04-14T07:06:27Z,2020-07-17T20:10:24Z
200.62.147.66,,12252,America Movil Peru S.A.C.,PE,Callao,,,false,0.98,2020-09-21T22:51:32Z,2020-07-17T20:12:18Z
91.239.100.100,anycast.censurfridns.dk.,198794,Thomas Steen Rasmussen,DK,,9.11.29+dampening,,true,0.67,2021-05-05T03:24:39Z,2020-07-17T22:21:06Z
2001:67c:28a4::,anycast.censurfridns.dk.,198794,Thomas Steen Rasmussen,DK,,9.11.29+dampening,,true,1.00,2021-05-06T11:25:01Z,2020-07-17T22:21:07Z
89.233.43.71,unicast.censurfridns.dk.,3308,Telia Company AB,DK,Kobenhavn O,9.11.22+dampening,,true,1.00,2020-10-20T11:23:31Z,2020-07-17T22:21:09Z
2a01:4f8:151:34aa::198,dnsforge.de.,24940,Hetzner Online GmbH,DE,,PowerDNS Recursor 4.4.2 (built Dec 11 2020 15:30:25 by root@da655faa9664),,true,1.00,2021-02-13T00:02:15Z,2020-07-17T22:21:13Z
